#day,Merged_4e Arrondissement_Antananarivo Atsimondrano_Arivonimamo,Merged_Betafo_Faratsiho,Ambatolampy,Antsirabe II,Mandoto,Merged_Miarinarivo_Soavinandriana,Tsiroanomandidy,Fenoarivobe,Merged_Fianarantsoa I_Ambalavao,Merged_Ambohimahasoa_Lalangina_Isandra,Ikalamavony,Merged_Vohibato_Farafangana,Merged_Ambatofinandrahana_Ambositra,Fandriana,Merged_Manandriana_Ikongo,Ifanadiana,Merged_Nosy-Varika_Befotaka,Mananjary,Manakara Atsimo,Vohipeno,Ihosy,Ivohibe,Iakora,Vangaindrano,Midongy-Atsimo,Vondrozo,Merged_Toamasina I_Ambatondrazaka,Brickaville,Merged_Vatomandry_Antanambao Manampontsy,Mahanoro,Marolambo,Toamasina II,Maroantsetra,Merged_Fenerive Est_Vavatenina,Soanierana Ivongo,Amparafaravola,Moramanga,Anosibe-An'ala,Mahajanga I,Ambato Boeni,Marovoay,Mitsinjo,Mahajanga II,Merged_Port-Berge (Boriziny-Vaovao)_Mampikony, Merged_Analalava_Antsohihy,Bealanana,Merged_Maevatanana_Tsaratanana_Ambanja,Kandreho,Ambatomainty,Antsalova,Maintirano,Morafenobe,Tsihombe,Merged_Ambovombe-Androy_Amboasary-Atsimo,Taolagnaro,Betroka,Miandrivazo 
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
18,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,2,2,2,2,2,0,1,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,3,3,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
21,1,1,1,1,1,1,1,1,2,2,1,2,1,1,3,3,3,3,3,3,1,2,2,3,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,3,1,1
22,1,1,1,1,1,1,1,1,2,2,1,2,1,1,3,3,4,3,4,4,1,2,2,3,4,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,3,1,1
23,1,1,1,1,1,1,1,1,2,2,1,2,1,1,3,3,4,3,4,4,1,2,2,3,4,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,3,1,1
24,0,0,0,0,1,1,1,1,1,1,0,1,0,0,2,2,3,2,3,3,0,1,1,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0
25,0,0,0,0,1,1,1,1,1,1,0,1,0,0,2,2,3,2,3,3,0,1,1,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0
